Proj0,Proj1,Proj2,Proj3,Proj4,ProjTotal,AdjProjTotal,MT,Final,TotalPct,Grade,Quarter,LectureRef,MidtermOutOf,FinalOutOf
2,30,30,30,30,120,120,35,22,93.48%,A+,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.54,33,22,92.04%,A+,2014Fall,A,39,25
2,30,28,30,30,118,118.62,35,21,91.70%,A+,2014Fall,A,39,25
2,30,30,30,30,120,120,35,20.5,91.50%,A+,2014Fall,A,39,25
2,30,30,30,30,120,120,32.5,20.5,89.89%,P,2014Fall,A,39,25
2,30,30,30,29.5,119.5,119.67,30.5,21.5,89.82%,A,2014Fall,A,39,25
2,30,28,26,30,114,114,36,20,89.48%,A,2014Fall,A,39,25
2,24,30,26,30,110,113.36,36,20,89.26%,A,2014Fall,A,39,25
2,30,28,30,29.7,117.7,118.17,35.5,19,89.23%,A,2014Fall,A,39,25
2,29,29,30,29.4,117.4,118.2,34,19.5,88.94%,A,2014Fall,A,39,25
2,30,30,28,30,118,118.18,35.5,18.5,88.57%,A,2014Fall,A,39,25
2,30,30,29,30,119,119.31,30.5,20,87.72%,A,2014Fall,A,39,25
2,30,28,30,29.5,117.5,117.5,32.5,19,87.08%,A,2014Fall,A,39,25
2,28,26,28,29,111,113.79,33,19.5,86.82%,A,2014Fall,A,39,25
2,30,29,30,30,119,119.31,31,19,86.72%,A,2014Fall,A,39,25
2,30,30,30,21.34,111.34,112.11,32,20,86.28%,A,2014Fall,A,39,25
2,23,29,29,30,111,113.79,30,20.5,86.22%,A,2014Fall,A,39,25
2,28,29,30,30,117,117.27,31,19,86.04%,A,2014Fall,A,39,25
2,30,29,29,30,118,118.62,32,18,85.81%,A,2014Fall,A,39,25
2,30,29,29,30,118,118.62,33,17.5,85.79%,A,2014Fall,A,39,25
2,29,30,30,30,119,119.34,29.5,19,85.77%,A,2014Fall,A,39,25
2,30,29,28,22,109,111.23,32.5,19.5,85.65%,A,2014Fall,A,39,25
2,29,30,30,27.84,116.84,117.9,29.5,19,85.29%,A,2014Fall,A,39,25
2,28,30,30,30,118,118.62,29,19,85.21%,A,2014Fall,A,39,25
2,30,38,20,29,117,118.01,28,19.5,85.02%,A,2014Fall,A,39,25
2,30,30,30,30,120,120,32,17,84.95%,A,2014Fall,A,39,25
2,30,29,30,24,113,115.16,29,19.5,84.72%,A,2014Fall,A,39,25
2,30,30,30,30,120,120,29.5,18,84.67%,A,2014Fall,A,39,25
2,30,29,28,30,117,117.93,29,18.5,84.32%,A,2014Fall,A,39,25
2,28,29,28,30,115,116.55,30.5,18,84.16%,A,2014Fall,A,39,25
2,30,27,30,30,117,117.27,33,16.5,84.02%,A,2014Fall,A,39,25
2,30,30,30,30,120,120,31.5,16.5,83.97%,A,2014Fall,A,39,25
1.5,30,29,30,29,118,118.18,30,18,83.88%,A,2014Fall,A,39,25
2,30,28,30,30,118,118.67,32,16.5,83.85%,A,2014Fall,A,39,25
2,25,27,30,30,112,114.47,31,18,83.79%,A,2014Fall,A,39,25
2,30,30,28,29.5,117.5,118.34,33,16,83.72%,A,2014Fall,A,39,25
2,30,30,30,30,120,120,29,17.5,83.69%,A,2014Fall,A,39,25
2,25,29,30,29,113,115.35,31,17.5,83.42%,A,2014Fall,A,39,25
2,29,29,27,29,114,115.86,27.5,19,83.33%,A,2014Fall,A,39,25
2,25,27,27,30,109,111.23,28.5,19.5,83.09%,A,2014Fall,A,39,25
2,30,30,28,30,118,118,28,18,83.04%,A,2014Fall,A,39,25
2,30,29,28,28.5,115.5,115.5,26,19.5,82.91%,A,2014Fall,A,39,25
2,27,29,28,29.5,113.5,114.82,31.5,17,82.91%,A,2014Fall,A,39,25
2,30,30,30,27.44,117.44,117.44,29,17.5,82.84%,A,2014Fall,A,39,25
2,30,30,27,29,116,117.34,28,18,82.82%,A,2014Fall,A,39,25
2,30,30,26,30,116,117.24,31,16.5,82.73%,A,2014Fall,A,39,25
1.5,30,19.8,27,28.215,105.02,108.06,29,20,82.51%,A,2014Fall,A,39,25
2,30,27,27,30,114,114.53,27.5,18.5,82.23%,A,2014Fall,A,39,25
2,28,29,30,30,117,117.61,30,16.5,82.21%,A,2014Fall,A,39,25
0,30,29,24,28.5,111.5,111.5,30,19.5,82.14%,A,2014Fall,A,39,25
2,28,30,30,30,118,118.18,32.5,15,82.03%,A,2014Fall,A,39,25
2,27,29,27,29.5,112.5,113.17,32,16.5,82.02%,A,2014Fall,A,39,25
